Time,enc_1,enc_2,Trails,Robx,Roby,PlayerX,PlayerY,CirclePosX,CirclePosY,circleRadius,TargetPos1,TargetPos2,targetRadii,CurrentStat
2024-08-01 12:04:36.426,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.432,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.436,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.440,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.444,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.450,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.456,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.461,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.466,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.471,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.474,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.481,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.485,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.490,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.496,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.500,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.504,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.508,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.514,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.518,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.522,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.526,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.530,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.534,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.539,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.543,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.547,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.552,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.556,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
2024-08-01 12:04:36.561,-59.4,105.264,0,0.2770513,-1.017905,,,,,,,,,
